Common Terms	Frequency
overlays	3
specific	3
brightest	3
separated	3
says	3
angled	3
degrees	3
loop	3
f770w	3
nested	3
ifu	3
elongated	3
swirling	3
without	3
chariklo	3
reflectance	3
make	3
x	3
expands	3
no	3
475	3
valley	3
dusty	3
debris	3
graphical	3
blueish	3
rising	3
jet	3
carina	3
3324	3
wavy	3
patterns	3
shorter	3
among	3
titan	3
november	3
pillar	3
widest	3
number	3
element	3
absent	3
jd	3
hexagon	3
noted	3
expanding	3
dart	3
tendrils	3
outwards	3
neon	3
splattered	3
dim	3
barred	3
containing	3
sparkling	3
scatter	3
densely	3
packed	3
period	3
shells	3
hot	3
perpendicular	3
stsci	3
espacial	3
sus	3
ilustra	3
con	3
grayscale	3
mass	3
multiwavelength	3
concept	3
icons	3
illustrating	3
wave	3
electron	3
orbit	3
featuring	3
es	3
izquierda	3
se	3
espectro	3
universe	3
illustrates	3
click	3
nanometers	3
corresponding	3
port	3
reminiscent	2
marble	2
lighter	2
border	2
strip	2
slight	2
crystalline	2
known	2
longer	2
opposite	2
fluffy	2
then	2
speckles	2
littering	2
lit	2
varying	2
supernova	2
diffused	2
strewn	2
overlaid	2
equatorial	2
hotspots	2
doughnut	2
hosts	2
transitions	2
imaged	2
bit	2
stretching	2
stretches	2
30	2
f277w	2
swoosh	2
nearly	2
encircling	2
illuminates	2
dusky	2
globe	2
pds	2
70	2
coming	2
pinched	2
revealing	2
thick	2
rough	2
displays	2
header	2
f187n	2
distances	2
include	2
years	2
context	2
supernovae	2
highlighting	2
name	2
passes	2
f2100w	2
broad	2
broader	2
band	2
outermost	2
faintest	2
variety	2
predominant	2
mark	2
contain	2
called	2
made	2
skewed	2
their	2
vary	2
so	2
smudges	2
bigger	2
still	2
continuous	2
ellipticals	2
too	2
discern	2
any	2
bluish	2
display	2
clearer	2
majority	2
gets	2
pole	2
cratered	2
rays	2
being	2
trails	2
spectral	2
238	2
12	2
positions	2
ragged	2
detector	2
saturated	2
series	2
great	2
limb	2
gj	2
under	2
inset	2
error	2
stacked	2
process	2
merging	2
arp	2
220	2
target	2
exposure	2
days	2
45	2
corners	2
exterior	2
curtains	2
interior	2
shell	2
studded	2
knots	2
e	2
oriented	2
listed	2
f140m	2
f300m	2
quarter	2
stripes	2
storm	2
similar	2
shines	2
clumpy	2
places	2
allowing	2
peek	2
closer	2
f210m	2
f335m	2
distance	2
density	2
separate	2
whose	2
perfect	2
arm	2
circling	2
drain	2
emanates	2
tightly	2
contained	2
outstretch	2
centaur	2
10199	2
prism	2
reflected	2
valleys	2
far	2
optical	2
clear	2
transit	2
baltimore	2
maryland	2
curvy	2
cartoonish	2
divided	2
portions	2
molecular	2
outflows	2
bow	2
feature	2
since	2
misshapen	2
depicts	2
may	2
3132	2
starts	2
goes	2
accretion	2
blend	2
primarily	2
although	2
hourglass	2
clearly	2
differentiated	2
rise	2
m16	2
locations	2
enlarged	2
screen	2
bluer	2
rusty	2
much	2
ray	2
dominate	2
hours	2
dominates	2
quadrant	2
towards	2
blurry	2
splatter	2
